==> Processando arquivo: Exemplo01.prex

Token: 27 (T_COMENTARIO), Lexema: \ EXEMPLO DE CODIGO PREX
   Objetivo: receber dois numeros, realizar a soma e exibir no video.
   Entrada: dois numeros.
  Saida: o resultado da soma destes dois numeros.
 \
Token: 1 (T_PROGRAMA), Lexema: PROGRAMA
Token: 2 (T_PREX), Lexema: PREX
Token: 3 (T_CHAVE_ABRE), Lexema: {
Token: 21 (T_NUMERO_FLOAT), Lexema: 896,34
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 8 (T_FLOAT), Lexema: FLOAT
Token: 20 (T_IDENTIFICADOR), Lexema: n1
Token: 6 (T_VIRGULA), Lexema: ,
Token: 20 (T_IDENTIFICADOR), Lexema: n2
Token: 6 (T_VIRGULA), Lexema: ,
Token: 20 (T_IDENTIFICADOR), Lexema: soma
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 10 (T_LISTA), Lexema: LISTA
Token: 9 (T_CHAR), Lexema: CHAR
Token: 20 (T_IDENTIFICADOR), Lexema: textoEntra
Token: 20 (T_IDENTIFICADOR), Lexema: da
Token: 28 (T_PARENTESE_ABRE), Lexema: (
Erro léxico: caractere não reconhecido '2'
Erro léxico: caractere não reconhecido '5'
Token: 29 (T_PARENTESE_FECHA), Lexema: )
Token: 6 (T_VIRGULA), Lexema: ,
Token: 20 (T_IDENTIFICADOR), Lexema: textoSaida
Token: 28 (T_PARENTESE_ABRE), Lexema: (
Erro léxico: caractere não reconhecido '1'
Erro léxico: caractere não reconhecido '0'
Token: 29 (T_PARENTESE_FECHA), Lexema: )
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 20 (T_IDENTIFICADOR), Lexema: textoEntra
Token: 20 (T_IDENTIFICADOR), Lexema: da
Token: 7 (T_IGUAL), Lexema: =
Token: 23 (T_STRING), Lexema: "Digite um numero real: \n"
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 20 (T_IDENTIFICADOR), Lexema: textoSaida
Token: 7 (T_IGUAL), Lexema: =
Token: 23 (T_STRING), Lexema: "A soma e: "
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 19 (T_ESCREVER), Lexema: ESCREVER
Token: 20 (T_IDENTIFICADOR), Lexema: textoEntra
Token: 20 (T_IDENTIFICADOR), Lexema: da
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 18 (T_LER), Lexema: LER
Token: 20 (T_IDENTIFICADOR), Lexema: n1
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 19 (T_ESCREVER), Lexema: ESCREVER
Token: 20 (T_IDENTIFICADOR), Lexema: textoEntra
Token: 20 (T_IDENTIFICADOR), Lexema: da
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 18 (T_LER), Lexema: LER
Token: 20 (T_IDENTIFICADOR), Lexema: n2
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 20 (T_IDENTIFICADOR), Lexema: soma
Token: 7 (T_IGUAL), Lexema: =
Token: 24 (T_OPERADOR_ARITMETICO), Lexema: +
Token: 20 (T_IDENTIFICADOR), Lexema: n1
Token: 20 (T_IDENTIFICADOR), Lexema: n2
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 19 (T_ESCREVER), Lexema: ESCREVER
Token: 20 (T_IDENTIFICADOR), Lexema: textoSaida
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 19 (T_ESCREVER), Lexema: ESCREVER
Token: 20 (T_IDENTIFICADOR), Lexema: soma
Token: 5 (T_PONTO_VIRGULA), Lexema: ;
Token: 4 (T_CHAVE_FECHA), Lexema: }

==> Concluído o processamento do arquivo: Exemplo01.prex

